Budget,Runtime,Popularity,Vote_Average,Vote_Count,Genres,Revenue,Release_Year,Release_Month,Release_Quarter,Revenue_Log,Budget_Log
3000000.0,106.0,5.254847,6.9,104.0,Drama,15119639.0,1994,9,3,16.5315051189084,14.914123179965662
15000000.0,86.0,11.247957,6.4,1684.0,Comedy,107217396.0,1994,2,1,18.490369078881876,16.52356082573315
5000000.0,139.0,11.298195,7.0,115.0,Thriller,1862805.0,1992,9,3,14.43759451104287,15.424948670398354
62000000.0,141.0,7.513245,6.4,390.0,Action,215887717.0,1994,8,3,19.19026900641899,17.9426449591384
45000000.0,119.0,15.263829,6.4,287.0,Drama,117615211.0,1994,7,3,18.582928938804823,17.622173069956816
15000000.0,102.0,15.799336,7.3,980.0,Fantasy,94000000.0,1994,5,2,18.358805350872576,16.52356082573315
46000000.0,91.0,15.019586,5.0,559.0,Fantasy,341631208.0,1994,5,2,19.649242376946724,17.6441519761925
55000000.0,142.0,48.307194,8.2,8147.0,Comedy,677945399.0,1994,7,3,20.334577311688424,17.822843761378564
6000000.0,117.0,8.990345,6.6,654.0,Comedy,254700832.0,1994,3,1,19.355600210458668,15.607270193858982
45000000.0,123.0,3.570874,5.3,41.0,Action,61947267.0,1994,6,2,17.94179406498628,17.622173069956816
45000000.0,89.0,21.605761,8.0,5520.0,Family,788241776.0,1994,6,2,20.485315424365478,17.622173069956816
35000000.0,140.0,5.681522,6.0,76.0,Drama,4858139.0,1993,12,4,15.396166206572815,17.370858648025116
14000000.0,112.0,9.860522,6.4,297.0,Horror,18090181.0,1994,10,4,16.710879918127944,16.454567959008102
23000000.0,101.0,14.13488,6.6,2550.0,Romance,351583407.0,1994,7,3,19.67795753267319,16.951004817371683
30000000.0,83.0,10.587232,6.4,535.0,Comedy,51132598.0,1994,3,1,17.74993279697887,17.216707972959764
11500000.0,99.0,6.514592,6.5,180.0,Drama,20079850.0,1994,2,1,16.815227432441546,16.257857680289998
8000000.0,98.0,5.137903,6.4,71.0,Crime,2000000.0,1993,7,3,14.508658238524095,15.894952224644102
30000000.0,116.0,10.859292,6.8,1814.0,Action,350448145.0,1994,6,2,19.674723310555624,17.216707972959764
27000000.0,99.0,8.907074,5.5,288.0,Thriller,101646581.0,1994,9,3,18.437012472288835,17.11134746100564
115000000.0,141.0,11.396099,6.8,1138.0,Action,378882411.0,1994,7,3,19.752736456331352,18.560442695023177
63000000.0,191.0,9.277147,6.5,203.0,Drama,25052000.0,1994,6,2,17.036464262544413,17.958645300228824
10000000.0,100.0,3.021526,6.0,31.0,Action,29392418.0,1994,11,4,17.196247341915182,16.118095750958314
7000000.0,119.0,0.912909,5.9,9.0,Crime,20851521.0,1994,9,3,16.85293750114681,15.76142084987672
35000000.0,102.0,13.58449,4.1,330.0,Action,99423521.0,1994,12,4,18.414899283471048,17.370858648025116
26000000.0,99.0,6.866634,4.5,110.0,Action,36800000.0,1994,11,4,17.421008430313073,17.073607134447293
8000000.0,95.0,8.497643,7.1,307.0,Horror,8946600.0,1994,12,4,16.006784241581354,15.894952224644102
34000000.0,139.0,8.013617,7.0,172.0,Drama,32255440.0,1993,9,3,17.289197300153884,17.341871111992198
17080000.0,107.0,1.896273,5.1,42.0,Comedy,21011500.0,1994,1,1,16.860580512439707,16.653418804872704
50000000.0,104.0,11.787784,5.5,445.0,Action,119208989.0,1994,5,2,18.596388729214706,17.72753358339242
13000000.0,87.0,6.559693,5.8,102.0,Horror,428868.0,1993,6,2,12.968906789972536,16.380459992348886
22000000.0,121.0,6.115628,7.4,447.0,Drama,17287898.0,1993,9,3,16.665517334949108,16.906553056777135
13000000.0,90.0,1.316741,3.7,10.0,Drama,2570145.0,1993,9,3,14.759473264596334,16.380459992348886
30000000.0,144.0,8.698509,7.7,805.0,Action,36516012.0,1993,11,4,17.41326143467537,17.216707972959764
70000000.0,112.0,9.830853,6.1,600.0,Action,255000211.0,1993,5,2,19.356774934494904,18.064005814299346
40000000.0,121.0,14.228963,5.4,117.0,Drama,19726050.0,1994,8,3,16.79745070591299,17.50439003707821
6900000.0,102.0,6.8652,7.4,588.0,Comedy,7993039.0,1993,9,3,15.894081720974466,15.747032114495013
57000000.0,115.0,11.626116,6.4,1018.0,Crime,159055768.0,1993,10,4,18.88476544711433,17.858561843342684
30000000.0,94.0,8.468869,5.7,77.0,Comedy,11146270.0,1993,10,4,16.22661556047117,17.216707972959764
